pair_type,group,task_a_id,task_b_id,task_a_repo,task_b_repo,task_a_difficulty,task_b_difficulty,jaccard,cosine,files_a,files_b
within,easy,django__django-9296,django__django-10999,django/django,django/django,1,1,0.12280701754385964,0.16641573835519793,django/core/paginator.py,django/utils/dateparse.py
within,easy,django__django-9296,django__django-10097,django/django,django/django,1,1,0.10606060606060606,0.24608787974669735,django/core/paginator.py,django/core/validators.py
within,easy,django__django-9296,django__django-11163,django/django,django/django,1,1,0.14516129032258066,0.12961754418734317,django/core/paginator.py,django/forms/models.py
within,easy,django__django-9296,django__django-11133,django/django,django/django,1,1,0.10526315789473684,0.21166701539559157,django/core/paginator.py,django/http/response.py
within,easy,django__django-9296,django__django-11603,django/django,django/django,1,1,0.13793103448275862,0.19735873608525428,django/core/paginator.py,django/db/models/aggregates.py
within,easy,django__django-9296,django__django-10914,django/django,django/django,1,1,0.09859154929577464,0.12381390530032088,django/core/paginator.py,django/conf/global_settings.py
within,easy,django__django-9296,django__django-11299,django/django,django/django,1,1,0.13114754098360656,0.22222415933690484,django/core/paginator.py,django/db/models/sql/query.py
within,easy,django__django-9296,django__django-10880,django/django,django/django,1,1,0.12903225806451613,0.2772148365396827,django/core/paginator.py,django/db/models/aggregates.py
within,easy,django__django-9296,django__django-11239,django/django,django/django,1,1,0.09782608695652174,0.08614162387119242,django/core/paginator.py,django/db/backends/postgresql/client.py
within,easy,django__django-9296,django__django-11820,django/django,django/django,1,1,0.1506849315068493,0.10091669892222113,django/core/paginator.py,django/db/models/base.py
within,medium,sphinx-doc__sphinx-8548,astropy__astropy-13398,sphinx-doc/sphinx,astropy/astropy,3,3,0.034383954154727794,0.07967209243238532,"sphinx/ext/autodoc/__init__.py,sphinx/ext/autodoc/importer.py","astropy/coordinates/builtin_frames/__init__.py,astropy/coordinates/builtin_frames/intermediate_rotation_transforms.py,astropy/coordinates/builtin_frames/itrs.py,astropy/coordinates/builtin_frames/itrs_observed_transforms.py"
within,medium,sphinx-doc__sphinx-9461,sphinx-doc__sphinx-11510,sphinx-doc/sphinx,sphinx-doc/sphinx,3,3,0.06613756613756613,0.18839682902425492,"sphinx/domains/python.py,sphinx/ext/autodoc/__init__.py,sphinx/util/inspect.py",sphinx/directives/other.py
within,medium,sphinx-doc__sphinx-9229,astropy__astropy-14369,sphinx-doc/sphinx,astropy/astropy,3,3,0.058394160583941604,0.04519206566018145,sphinx/ext/autodoc/__init__.py,"astropy/units/format/cds.py,astropy/units/format/cds_parsetab.py"
